,coeff_name,Period_1,Period_2,Period_3,Period_4,Period_5
0,start,1.0,24.0,85.0,120.0,203.0
1,end,24.0,85.0,120.0,203.0,261.0
2,ptrans_community_as,5.04346682379092e-05,0.0001380608031176,-1.9435363257494078e-16,0.0034103889345972,8.569670442903069e-08
3,ptrans_other_as,3.018249459741648e-05,-1.302278956987648e-21,4.366165699744375e-08,3.297713890464808e-06,2.0131568049050538e-07
4,ptrans_house_as,-7.411538288475128e-22,1.3453328654393024e-05,-1.823915959932905e-16,0.0094647743091589,0.41788340160074866
5,ptrans_work_as,0.0014242020633744,0.0002112622045402,1.132244516139904e-07,0.0098354984485092,0.8850714175792572
6,ptrans_work_colleague_as,0.0001025964556678,2.821469472829535e-06,9.447672073549988e-07,0.0044361180370613,-6.601561733862981e-17
7,ptrans_school_as,7.204703679403476e-05,-2.441064553550352e-22,9.9999999999999e-09,1.0000000000000741e-08,-6.016637440525872e-17
8,ptrans_school_class_as,0.0690449793489797,-3.7153499288639783e-22,9.999999999999984e-09,-6.319659879905131e-22,-5.578072836428559e-17
9,ptrans_school_friend_as,0.155476665369783,1.00000000000004e-08,9.999999999999992e-09,-1.4440253384826497e-21,0.002493460690394536
10,ptrans_community_sy,0.0128332359485052,0.0001360897844835,0.0234378036260971,0.0086546912511995,0.013901006483768564
11,ptrans_other_sy,2.1797529726043053e-07,4.174214315039568e-23,-1.9428441654814627e-16,3.638165166793345e-05,-3.7659006094684435e-18
12,ptrans_house_sy,0.0067324415494157,0.0798100509325118,-1.9428309608751483e-16,0.00402936521544,1.5096530541311025e-07
13,ptrans_work_sy,0.7867911936540993,0.0611935180960142,-1.9424678893592358e-16,0.0062026226665519,2.3203425044967116e-18
14,ptrans_work_colleague_sy,8.035825053993548e-05,0.91536280454636,1.0,0.9945720166845792,0.29880006181296426
15,ptrans_school_sy,0.0046290144842661,-3.9802185235740282e-22,1.0000000000000045e-08,1.0000000000000442e-08,-6.500615432511291e-17
16,ptrans_school_class_sy,0.1803115129559193,-5.936301386968422e-22,-1.0071876372279713e-21,-5.959948960476542e-22,0.00013314222536699662
17,ptrans_school_friend_sy,0.2003025987002569,1.0000000000000538e-08,9.999999999999969e-09,1.0000000000000128e-08,-9.675446951809338e-23
18,ptrans_quarantine,0.0141358666820952,0.0275820622042366,-1.9427960467078559e-16,0.0202546189014482,0.0005801372760359171
19,ptrans_ho,0.0001618291192141,1.428046747044255e-05,-1.942936283228111e-16,7.285496916669838e-05,2.6507462748852194e-07
