,INFECTED_HO,QUARANTINED,DECEASED,POSITIVE
158,98.0,394.0,2056.0,885.0
159,92.0,409.0,2059.0,904.0
160,90.0,421.0,2060.0,908.0
161,91.0,426.0,2061.0,904.0
162,95.0,459.0,2064.0,955.0
163,97.0,503.0,2065.0,989.0
164,102.0,556.0,2065.0,1109.0
165,100.0,731.0,2066.0,1118.0
166,98.0,750.0,2066.0,1161.0
167,94.0,775.0,2067.0,1161.0
168,96.0,791.0,2067.0,1167.0
169,98.0,833.0,2069.0,1204.0
170,102.0,836.0,2069.0,1191.0
171,96.0,869.0,2071.0,1311.0
172,81.0,861.0,2073.0,1323.0
173,82.0,941.0,2075.0,1350.0
174,85.0,953.0,2075.0,1349.0
175,86.0,961.0,2076.0,1359.0
176,91.0,992.0,2079.0,1420.0
177,91.0,1037.0,2082.0,1486.0
178,93.0,1084.0,2082.0,1555.0
179,89.0,1153.0,2083.0,1532.0
180,90.0,1153.0,2085.0,1577.0
181,90.0,1172.0,2085.0,1581.0
182,92.0,1221.0,2088.0,1617.0
183,97.0,1305.0,2088.0,1691.0
184,97.0,1340.0,2091.0,1790.0
185,105.0,1391.0,2093.0,1919.0
186,103.0,1366.0,2098.0,1833.0
187,101.0,1450.0,2098.0,1956.0
188,100.0,1510.0,2099.0,2007.0
189,101.0,1534.0,2100.0,2034.0
190,108.0,1621.0,2104.0,2181.0
191,113.0,1718.0,2106.0,2231.0
192,112.0,1699.0,2107.0,2276.0
193,113.0,1718.0,2108.0,2275.0
194,116.0,1807.0,2108.0,2386.0
195,125.0,1860.0,2109.0,2427.0
196,131.0,1893.0,2111.0,2469.0
197,137.0,2045.0,2113.0,2611.0
198,140.0,2156.0,2113.0,2636.0
199,145.0,2237.0,2114.0,2685.0
200,153.0,2291.0,2119.0,2746.0
201,160.0,2365.0,2120.0,2808.0
202,162.0,2358.0,2123.0,2785.0
203,168.0,2336.0,2123.0,2749.0
204,181.0,2432.0,2126.0,2819.0
205,177.0,2394.0,2127.0,2782.0
206,177.0,2346.0,2128.0,2802.0
207,193.0,2357.0,2129.0,2715.0
208,189.0,2367.0,2131.0,2659.0
209,186.0,2377.0,2135.0,2606.0
210,192.0,2347.0,2138.0,2598.0
211,199.0,2454.0,2140.0,2714.0
212,210.0,2489.0,2147.0,2667.0
213,210.0,2521.0,2149.0,2685.0
214,218.0,2500.0,2152.0,2667.0
215,223.0,2552.0,2156.0,2714.0
216,221.0,2482.0,2157.0,2655.0
217,233.0,2465.0,2160.0,2661.0
218,246.0,2543.0,2160.0,2827.0
219,250.0,2631.0,2162.0,2889.0
220,251.0,2686.0,2166.0,2974.0
221,255.0,2761.0,2166.0,3086.0
222,268.0,2862.0,2171.0,3183.0
223,268.0,2859.0,2175.0,3162.0
224,277.0,2864.0,2175.0,3208.0
225,298.0,3063.0,2176.0,3433.0
226,311.0,3184.0,2179.0,3581.0
227,311.0,3290.0,2182.0,3601.0
228,318.0,3480.0,2187.0,3648.0
229,333.0,3615.0,2189.0,3745.0
230,339.0,3636.0,2190.0,3856.0
231,357.0,3643.0,2195.0,3922.0
232,382.0,3925.0,2201.0,4221.0
233,401.0,4215.0,2202.0,4473.0
234,402.0,4443.0,2206.0,4689.0
235,429.0,4738.0,2212.0,4937.0
236,436.0,5060.0,2215.0,5198.0
237,440.0,5280.0,2221.0,5388.0
238,466.0,5304.0,2227.0,5531.0
239,501.0,5817.0,2237.0,6079.0
240,521.0,6250.0,2246.0,6435.0
241,562.0,6724.0,2256.0,6831.0
242,593.0,7217.0,2263.0,7332.0
243,634.0,7826.0,2271.0,7915.0
244,672.0,8287.0,2278.0,8287.0
245,701.0,8457.0,2286.0,8371.0
246,754.0,9267.0,2298.0,9321.0
247,788.0,10078.0,2310.0,10222.0
248,814.0,10934.0,2322.0,11152.0
249,854.0,11810.0,2332.0,12265.0
250,917.0,12973.0,2344.0,13546.0
251,963.0,13686.0,2356.0,14385.0
252,1011.0,14011.0,2364.0,14477.0
253,1108.0,15543.0,2379.0,16724.0
